ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1654867320000000000,33,2,7370,260040000000,260140000000,259800000000,259900000000,920,MSFT
1654867380000000000,33,2,7370,259900000000,259910000000,259610000000,259800000000,1057,MSFT
1654867440000000000,33,2,7370,259770000000,259830000000,259700000000,259830000000,340,MSFT
1654867500000000000,33,2,7370,259730000000,260380000000,259730000000,259900000000,2905,MSFT
1654867560000000000,33,2,7370,260000000000,260190000000,259820000000,259820000000,22,MSFT
1654867620000000000,33,2,7370,260140000000,260310000000,259790000000,259820000000,1489,MSFT
1654867680000000000,33,2,7370,260430000000,260440000000,259920000000,260110000000,3593,MSFT
1654867740000000000,33,2,7370,260100000000,260420000000,260040000000,260420000000,4215,MSFT
1654867800000000000,33,2,7370,260420000000,260430000000,259130000000,259750000000,478759,MSFT
1654867860000000000,33,2,7370,259810000000,260550000000,259280000000,260000000000,35271,MSFT
1654867920000000000,33,2,7370,260100000000,260520000000,259590000000,259850000000,23417,MSFT
1654867980000000000,33,2,7370,259810000000,259820000000,258480000000,258540000000,38405,MSFT
1654868040000000000,33,2,7370,258580000000,258840000000,257390000000,257560000000,51413,MSFT
1654868100000000000,33,2,7370,257600000000,258090000000,257520000000,257740000000,34758,MSFT
1654868160000000000,33,2,7370,257770000000,257770000000,256810000000,257200000000,52369,MSFT
1654868220000000000,33,2,7370,257200000000,257570000000,257030000000,257030000000,35671,MSFT
1654868280000000000,33,2,7370,257020000000,257300000000,256540000000,257300000000,60756,MSFT
1654868340000000000,33,2,7370,257310000000,257860000000,257280000000,257450000000,25730,MSFT
1654868400000000000,33,2,7370,257440000000,258300000000,257320000000,258220000000,33366,MSFT
1654868460000000000,33,2,7370,258280000000,258280000000,257740000000,257790000000,30862,MSFT
1654868520000000000,33,2,7370,257740000000,257950000000,257360000000,257480000000,40477,MSFT
1654868580000000000,33,2,7370,257460000000,258190000000,257360000000,258100000000,38738,MSFT
1654868640000000000,33,2,7370,258120000000,258730000000,258000000000,258690000000,41414,MSFT
1654868700000000000,33,2,7370,258710000000,258980000000,258270000000,258300000000,52784,MSFT
1654868760000000000,33,2,7370,258350000000,258510000000,257930000000,257940000000,56737,MSFT
1654868820000000000,33,2,7370,257930000000,258340000000,257660000000,257800000000,42098,MSFT
1654868880000000000,33,2,7370,257780000000,257780000000,257210000000,257230000000,32983,MSFT
1654868940000000000,33,2,7370,257250000000,257900000000,257190000000,257230000000,33991,MSFT
1654869000000000000,33,2,7370,257230000000,257520000000,256700000000,256700000000,32366,MSFT
1654869060000000000,33,2,7370,256700000000,256920000000,256380000000,256380000000,22491,MSFT
1654869120000000000,33,2,7370,256380000000,256450000000,255830000000,256190000000,39278,MSFT
1654869180000000000,33,2,7370,256200000000,256210000000,255660000000,255750000000,35508,MSFT
1654869240000000000,33,2,7370,255790000000,256190000000,255790000000,256100000000,17819,MSFT
1654869300000000000,33,2,7370,256060000000,256120000000,255810000000,255940000000,19126,MSFT
1654869360000000000,33,2,7370,255930000000,256080000000,255750000000,255900000000,15006,MSFT
1654869420000000000,33,2,7370,255950000000,256280000000,255900000000,255980000000,23990,MSFT
1654869480000000000,33,2,7370,256000000000,256160000000,255850000000,255930000000,24107,MSFT
1654869540000000000,33,2,7370,255930000000,256520000000,255880000000,256290000000,22368,MSFT
